Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Province or Territory / Province ou territoire de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,Emission Source / Source d'emission,CO2 (tonnes),Total Emissions from Source (tonnes CO2e) / Émissions totales de la Source (tonnes éq. CO2),Total Facility Emissions (tonnes CO2e) / Émissions totales de l'installation (tonnes éq. CO2)
G12631,2022,Peyto Aurora 11-13-43-13W5,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.0606,35.111,12695.1083
G12631,2022,Peyto Aurora 11-13-43-13W5,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,11135.8957,12267.3579,12695.1083
G12631,2022,Peyto Aurora 11-13-43-13W5,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.0552,31.9696,12695.1083
G12632,2022,Perryvale West Oil MWB 16-24-063-24W4,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,10289.8191,11665.07202,12864.10656
G12632,2022,Perryvale West Oil MWB 16-24-063-24W4,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.14527,278.02735,12864.10656
G12632,2022,Perryvale West Oil MWB 16-24-063-24W4,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,860.11405,914.33994,12864.10656
G12632,2022,Perryvale West Oil MWB 16-24-063-24W4,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.04637,6.66725,12864.10656
G12633,2022,Jarvie 05-20-063,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,9878.5548,11198.84164,12885.58543
G12633,2022,Jarvie 05-20-063,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.00762,125.72762,12885.58543
G12633,2022,Jarvie 05-20-063,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,1348.26335,1403.03169,12885.58543
G12633,2022,Jarvie 05-20-063,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,1.10048,157.98448,12885.58543
G12634,2022,Corunna Storage Facility,Ontario,Petroleum Product Wholesaler-Distributors,Flaring / Torchage,9511.97777,9558.645979,12903.5621
G12634,2022,Corunna Storage Facility,Ontario,Petroleum Product Wholesaler-Distributors,Leakage / Fuites,0.053507,92.692963,12903.5621
G12634,2022,Corunna Storage Facility,Ontario,Petroleum Product Wholesaler-Distributors,Stationary Fuel Combustion / Combustion stationnaire de combustibles,3234.9427,3252.223154,12903.5621
G12635,2022,ABGS0006283,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,44.0233,49.90798,12944.59337
G12635,2022,ABGS0006283,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,10973.834,12376.37734,12944.59337
