Facility GHGRP ID No. / Installation No d'identification du PDGES,Reference Year / Année de référence,Facility Name / Nom de l'installation,Facility Province or Territory / Province ou territoire de l'installation,English Facility NAICS Code Description / Description du code SCIAN de l'installation en anglais,Emission Source / Source d'emission,CO2 (tonnes),Total Emissions from Source (tonnes CO2e) / Émissions totales de la Source (tonnes éq. CO2),Total Facility Emissions (tonnes CO2e) / Émissions totales de l'installation (tonnes éq. CO2)
G12566,2022,Kakwa 102/10-10-065-05W6,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,8375,9478.2,30078
G12566,2022,Kakwa 102/10-10-065-05W6,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,20482.6,20599.8,30078
G12567,2022,Kakwa 03-21-063-05W6,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,3378.3,3848.7,16839
G12567,2022,Kakwa 03-21-063-05W6,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,12895.3,12953.9,16839
G12567,2022,Kakwa 03-21-063-05W6,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0,36.4,16839
G12568,2022,Kakwa 04-24-065-05W6,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,871.1,988.7,10659.3
G12568,2022,Kakwa 04-24-065-05W6,Alberta,Oil and gas extraction (except oil sands),Leakage / Fuites,0.1,140.1,10659.3
G12568,2022,Kakwa 04-24-065-05W6,Alberta,Oil and gas extraction (except oil sands),Stationary Fuel Combustion / Combustion stationnaire de combustibles,7618.6,9362.3,10659.3
G12568,2022,Kakwa 04-24-065-05W6,Alberta,Oil and gas extraction (except oil sands),Venting / Évacuation,0.2,168.2,10659.3
G12569,2022,Kakwa 05-25-063-04W6,Alberta,Oil and gas extraction (except oil sands),Flaring / Torchage,966.9,1090.1,14714
